007 PRECIOUS METALS INC	00000#N/A
ADOLOR CORP	001076167
ADSTAR INC	001091599
ADTALEM GLOBAL EDUCATION INC	000906446
ADTRAN INC	000926282
ADURO BIOTECH INC	001226036
ADV INHALATION THERAPYS-REDH	001164209
ADV MACHINE VISION CORP-CL A	001421183
ADV NEUROMODULATION SYS INC	001421183
ADVA INTERNATIONAL INC	000807732
ADVANCED ACCELERATR APP -ADR	001124659
ADVANCED COMPUTER TECHNIQUES	001100820
ADVANCED DETECTORS INC	000792381
ADVANCED DIGITAL INFO CORP	001355115
ADVANCED FIBRE COMM INC	001308292
ADVANCED GRAVIS COMPUTER TEC	000920175
ADVANCED ID CORP	001005356
ADVANCED INTERVENTIONAL SYS	001171154
ADVANCED LOGIC RESEARCH INC	000861289
ADVANCED MAMMOGRAPHY SYS INC	000792977
ADVANCED MEDICAL OPTICS INC	001168335
ADVANCED MICRO DEVICES	001282397
ADVANCED OPTICS ELECTRONICS	001415720
ADVANCED PHOTONIX INC  -CL A	000869986
ADVANCED POWER TECHNOL INC	001432104
ADVANCED PROTEOME THERAPETCS	001505358
ADVANCED SURGICAL INC	001488658
ADVANCED SWITCHING COMM INC	001488658
ADVANCED SYSTEMS INTL INC	001070497
ADVANCED TELECOMMUNICATIONS	001314983
ADVANCED TISSUE SCI  -CL A	001604768
ADVANCED VIRAL RESEARCH CORP	000786623
ADVANCED VOICE TECHNOLOGIES	001342936
ADVANT-E CORP	001407847
ADVANTA CORP  -CL B	000096638
ADVANTAGE OIL & GAS LTD	001496121
ADVENT SOFTWARE INC	000816086
ADVENTURE ELECTRONICS INC	001432189
ADVENTUS ZINC CORPORATION	001567645
ADVERUM BIOTECHNOLOGIES	001443550
ADVNTAGE INSURANCE INC -REDH	001576129
AEGIS CONSUMER FDG GROUP INC	000778426
AEGIS IDENTITY SOFTWR -REDH	001533527
AEGIS REALTY INC	001043324
AEGLEA BIOTHERAPEUTICS INC	001595365
AEGON NV	001160709
AEOLUS PHARMACEUTICALS INC	001487709
AEP GENERATING CO	001403946
AEP TEXAS CENTRAL CO	000018734
AEP TEXAS NORTH CO	000105860
AEQUUS PHARMACEUTICALS INC	001489424
AERIE PHARMACEUTICALS INC	001337553
AEROGEN INC	001039160
AEROHIVE NETWORKS INC	001372414
AERPIO PHARMACEUTICALS INC	001556983
AES GENER SA	000926075
AESP INC	001026744
AETHER SYSTEMS	001592903
AETHLON MEDICAL INC	000882291
AFEXA LIFE SCIENCES INC	000820608
AFFILIATED BANKSHARES COLO	001035114
AFFILIATED MANAGERS GRP INC	001004434
AFFIMED NV	001608390
AFFINITY TECHNOLOGY GRP INC	001007508
AFFYMAX NV	001158223
AFFYMETRIX INC	000913077
AFN INC	000810351
AFRICA OIL CORP	001320637
AG ASSOCIATES INC	000942124
AGA MEDICAL HOLDINGS INC	001336437
AGELLAN COMMERCIAL REIT	001238557
AGENCY.COM LTD	001132565
AGENUS INC	001098972
AGERE SYSTEMS INC	001129446
AGILE SOFTWARE CORP	001088653
AGILE THERAPEUTICS INC	001261249
AGILENT TECHNOLOGIES INC	001090872
AGILITY CAPITAL INC	001014747
AGILYSYS INC	000078749
AGIOS PHARMACEUTICALS	001169065
AGM GROUP HLD INC-REDH	001214155
AGOURON PHARMACEUTICALS INC	000811210
AGREE REALTY CORP	000917251
AGRIA CORP -ADS	001413257
AGRISTAR INC	000842888
AGRITECH WORLDWIDE INC	001447085
AGRITOPE INC	001044865
AGWAY INC	000002852
AHT CORP	001002628
AIB GROUP PLC	001064377
AIFS INC	001287678
AILERON THERAPEUTIC INC	001522423
AIMMUNE THERAPEUTICS INC	001080784
AIMSI TECHNOLOGIES INC	001375637
AIR L A INC	001384903
AIR MIDWEST INC	000310454
AIR WISCONSIN SERVICES INC	001525524
AIRBORNE WIRELESS NETWORK	001614964
AIRGAIN INC	001272842
AIRIQ INC	001297450
AIRNET COMMUNICATIONS CORP	000944163
AIRONET WIRELESS COMM	001240371
AIRSPAN NETWORKS INC	001105542
AIRTOUCH COMMUNICATIONS-OLD	000904255
AIRTRAN HOLDINGS INC	000948846
AIRVANA INC	001116435
AIRWAYS CORP	000946362
AIT ADVANCED INFO TECH CORP	001328769
AK STEEL HOLDING CORP	000918160
AKAMAI TECHNOLOGIES INC	001398575
AKARI THERAPEUTICS PLC -ADR	001115751
AKCEA THERAPEUTICS INC	001504884
AKEBIA THERAPEUTICS INC	001254383
AKELA PHARMA INC	001231855
AKORN INC	000003116
AKSYS LTD	000902600
ALABAMA NATL BANCORPORATION	000926966
ALABAMA POWER CO	000003153
ALADDIN KNOWLEDGE SYSTEM LTD	001163722
ALAMCO INC	000355115
ALANTEC CORP	000916073
ALARIS MEDICAL SYSTEMS INC	001029069
ALARM.COM HOLDINGS INC	001418105
ALAS INTL HOLDINGS INC-OLD	000774937
ALASKA AIR GROUP INC	000766421
ALASKA AIRLINES INC	000003202
ALASKA COMMUNICATIONS SYS GP	001036272
ALBERTA ENERGY CO LTD	000927600
ALBERTA NATURAL GAS CO LTD	001381624
ALBIREO PHARMA INC	001426626
ALC COMMUNICATIONS INC	000783425
ALCATEL ADS OPTRONICS	000886125
ALCATEL CANADA INC	000886125
ALCATEL-LUCENT	000316004
ALCOBRA LTD	001066148
ALDEN ELECTRONICS INC	000003398
ALDER BIOPHARMACEUTICALS INC	001423824
ALDEYRA THERAPEUTICS INC	001341235
ALDUS CORP	001489101
ALERUS FINANCIAL CORP	000903419
ALEXANDER ENERGY CORP	000355143
ALEXANDER TOUCHE INSURANCE	001093048
ALEXANDER'S INC	001458275
ALEXANDRIA R E EQUITIES INC	001499261
ALEXIS NIHON R E INVST TRUST	001503034
ALFA CORP	000743532
ALGOS PHARMACEUTICAL CORP	000924862
ALIANT COMMUNICATIONS INC	000320446
ALIANT INC	001135023
ALIAS RESEARCH INC	000863928
ALIBABA GROUP HLDG	001173312
ALICO INC	000003545
ALIMCO FINANCIAL CORP	001105292
ALKALINE WATER COMPANY INC	001532390
ALKAME HOLDINGS INC	001438382
ALKERMES PLC	000874663
ALL STATE PROPERTIES HLDGS	001345958
ALLAIRE CORP	001016139
ALLBRITTON COMMUNICATIONS CO	000889156
ALLCITY INSURANCE CO	001193096
ALLEGHANY CORP	001501665
ALLEGHENY ENERGY INC	000003673
ALLEGHENY GENERATING CO	000774459
ALLEGHENY LUDLUM CORP	001276782
ALLEGHENY VALLEY BANCORP INC	000816248
ALLEGIANCE BANCORP INC	000807522
ALLEGIANCE BANCSHARES INC	000807522
ALLEGIANCE TELECOM INC	001058703
ALLEGIANT BANCORP INC	000852642
ALLELIX BIOPHARMACEUTICAL	001512728
ALLEN ORGAN CO  -CL B	000003753
ALLEN TELECOM INC	000003721
ALLENA PHARMACEUTICALS	001396576
ALLERGAN INC	000850693
ALLERGAN PLC	000934592
ALLERGAN SPCLTY THERAPEUTICS	000934592
ALLERGY RESEARCH GROUP INC	001044119
ALLERION INC	000350874
ALLFIRST FINANCIAL INC	000036510
ALLIANCE FIBER OPTIC PRODUCT	001513972
ALLIANCE FINANCIAL CORP/NY	000719143
ALLIANCEBERNSTEIN HOLDING LP	000825313
ALLIANT COMPUTER SYSTEMS CP	001292451
ALLIANZ SE	001127508
ALLIED BANKSHARES INC/GA	000810995
ALLIED CAPITAL ADVISERS INC	000868207
ALLIED CAPITAL COML CORP	000868207
ALLIED CAPITAL CORP -OLD	000003906
ALLIED DEFENSE GROUP INC	000003952
ALLIED GROUP INC	000774624
ALLIED LIFE FINANCIAL CORP	000912154
ALLIED PPTYS REAL ESTATE INV	001255059
ALLIED RISER COMMUNICATIONS	001211524
ALLIED SECURITY INNOVATIONS	001172335
ALLIN CORP	001020391
ALLMERICA PPTY &CASUALTY COS	000091024
ALLOU HEALTHCARE INC	000846538
ALLOY COMPUTER PRODUCTS INC	001495023
ALLSCRIPTS HEALTHCARE SOLTNS	001344791
ALLSCRIPTS HLTHCR SOLTNS-OLD	001124804
ALLSTATE CORP	000899051
ALLSTATE LIFE INSUR CO/NY	001176267
ALLSTREAM INC -CL B	001045359
ALLTEL CORP	000065873
ALLTEL FLORIDA INC	000065873
ALLTEL ILLINOIS INC	001362222
ALLTEL NEW YORK INC	001362222
ALLTEL PENNSYLVANIA INC	001362222
ALMADEN MINERALS LTD	001015647
ALON USA PARTNERS LP	001556771
ALP LIQUIDATING TRUST	000814046
ALPHA BETA TECHNOLOGY INC	000841168
ALPHA EXPLORATION INC	001175788
ALPHA NETWORK ALLIANCE VNTRS	001491829
ALPHABET INC	001566978
ALPHANET SOLUTIONS INC	001002132
ALPHARMA INC  -CL A	000730469
ALPHATRADE.COM	001045629
ALSERES PHARMACEUTICALS INC	000899503
ALSIUS CORP	001362089
ALTA ENERGY CORP	001245269
ALTABA INC	001345152
ALTAGAS LTD	001337549
ALTAI INC	001494917
ALTAI RESOURCES INC	001494917
ALTAIR ENGINEERING INC	001538791
ALTEON WEBSYSTEMS INC	001089925
ALTERA CORP	000768251
ALTERNATIVE TECHNOLOGY RES	001467728
ALTERYX INC	001527149
ALTEVA INC	001351429
ALTEX INDUSTRIES INC	000775057
ALTICE USA INC	001539629
ALTIGEN COMMUNICATIONS INC	001003607
ALTIRIS INC	001139650
ALTISOURCE RESIDENTIAL CORP	001555039
ALUMINA LTD	000857071
ALVARION LTD	001108332
ALVOPETRO ENERGY LTD	001557707
ALYSIS TECHNOLOGIES INC	001013033
ALZA CORP	000004310
AM COMMUNICATIONS INC	000318580
AM-CH INC	001434446
AMANDA CO INC	001000266
AMARILLO MESQUITE GRILL INC	000727089
AMARIN CORP	001302693
AMATI COMMUNICATIONS CORP	000065745
AMAZON.COM INC	001257378
AMB PROPERTY CORP	001045609
AMBAC FINANCIAL GROUP INC	000874501
AMBANC CORP	000702904
AMBARELLA INC	001280263
AMBASE CORP-OLD	000020639
AMBASSADOR APARTMENTS INC	000921946
AMBASSADOR FOOD SVCS CORP	000008734
AMBASSADORS INTERNATIONL INC	000946842
AMBER ENERGY INC	001080522
AMBER RESOURCES CO OF COLO	000276750
AMBER ROAD INC	000276750
AMBRX INC-REDH	001264647
AMCORE FINANCIAL INC	000714756
AMDAHL CORP	000004427
AMDOCS	001362037
AMEDIA NETWORKS INC	001059726
AMEN PROPERTIES INC	001037599
AMER AMMO	001032724
AMER BUSINESS FINL SVCS INC	001032724
AMER COUNTRY HOLDINGS INC	001032724
AMER FINANCL ENTERPRISES INC	001032724
AMER INSD MTG SER 85  -LP	000810038
AMER INSD MTG SER 86  -LP	000810038
AMER INSD MTG SER 88  -LP	000810038
AMER INSURED MTG INVS  -LP	000810038
AMER ITALIAN PASTA CO  -CL A	000810038
AMER MEDICAL ELECTRONICS INC	000810038
AMER TRANSPRT TV NETWORK INC	000810038
AMERAC ENERGY CORP	000005696
AMERECO	001482783
AMERI HOLDINGS INC	001105949
AMERICA FIRST APT INVESTORS	001011585
AMERICA FIRST MULTIFAMILY-LP	001059142
AMERICA FIRST REIT INC	001060383
AMERICA GREAT HEALTH	001444259
AMERICA ONLNE LTN AMR  -CL A	001100395
AMERICAN AIRLINES GROUP INC	000794803
AMERICAN AIRLINES INC	000004515
AMERICAN BANCORP/NV	001330039
AMERICAN BANCORP/OH	001330039
AMERICAN BANKERS INS GROUP	001294196
AMERICAN BIOMED INC	000867572
AMERICAN CAPITAL HOLDINGS	000276242
AMERICAN CMNTY DEVLOPMENT GP	001291208
AMERICAN COMMUN & TV	001068081
AMERICAN COMMUNITY PPTYS TR	001321544
AMERICAN EAGLE GROUP INC	000882800
AMERICAN EDUCATION CORP	000705003
AMERICAN ELECTR COMPONENTS	000320349
AMERICAN ELECTRIC POWER CO	001218721
AMERICAN ENERGY GROUP LTD	000843212
AMERICAN EQTY INVT LIFE HLDG	001232658
AMERICAN EXPLORATION CO	000715428
AMERICAN EXPRESS CO	001029679
AMERICAN FAMILY FINL SVCS	001164392
AMERICAN FARMLAND CO	001504607
AMERICAN FINANCIAL CORP	001253161
AMERICAN FINANCIAL GROUP INC	001042046
AMERICAN FINANCIAL REALTY TR	001095862
AMERICAN FRUCTOSE  -CL A	001101915
AMERICAN FUEL CORP	001101915
AMERICAN GENERAL CORP	000943172
AMERICAN GENERAL HOSPITALITY	001359258
AMERICAN HEALTH PROPERTIES	000824647
AMERICAN HERITAGE LIFE INVS	000005172
AMERICAN HOME MTG INVT CORP	001534461
AMERICAN HOMES 4 RENT	001562401
AMERICAN HOTEL INCM PROP LP	001453603
AMERICAN INCOME HOLDING INC	000882322
AMERICAN INDL PPTYS REIT	001324107
AMERICAN INDTY FINL CORP	001364019
AMERICAN INTERNATIONAL GROUP	001020167
AMERICAN INTERNATIONAL INDS	001300524
AMERICAN INTL PETROLEUM CORP	001132584
AMERICAN LAND LEASE INC	000804138
AMERICAN LAWYER MEDIA INC	001059498
AMERICAN LEARNING CORP -OLD	000774517
AMERICAN MAIZE-PRODS  -CL A	000005405
AMERICAN MANAGEMENT SYSTEMS	000005405
AMERICAN MEDCARE CORP	000716384
AMERICAN MEDIA INC  -CL A	000880555
AMERICAN MEDICAL TECHNOL INC	001366014
AMERICAN MIDLAND CORP	000066052
AMERICAN MILLENIUM CORP	001557627
AMERICAN MOBILE SYS	001061137
AMERICAN MORTGAGE ACCEPTANCE	001600085
AMERICAN NATIONAL INSURANCE	000005533
AMERICAN NATIONAL PETROLEUM	001057018
AMERICAN NATL BANKSHARES	000867289
AMERICAN NATURAL ENERGY CORP	000870732
AMERICAN NUCLEAR CORP	000005550
AMERICAN NURSERY PRODS INC	000005550
AMERICAN OIL & GAS INC	000351997
AMERICAN ORIENTAL BIOENGR	001090514
AMERICAN PACIFIC BANK  -CL B	001165502
AMERICAN PAGING INC	000916065
AMERICAN PHARMACEUTICAL CO	001584873
AMERICAN PHYSICIANS SVC GP	000724024
AMERICAN RE CORP	000889217
AMERICAN REALTY CAP HLTHCR	000868442
AMERICAN RESIDENTIAL PPTYS	001608272
AMERICAN RESOURCES OFFSHORE	000899717
AMERICAN RESTAURANT GROUP	001452872
AMERICAN RESTAURANT PRTNS-LP	000817900
AMERICAN RIVER BANKSHARES	001108236
AMERICAN RIVERS OIL CO	001162227
AMERICAN SOFTWARE  -CL A	001376342
AMERICAN STEEL & WIRE CORP	001429331
AMERICAN SURGERY CENTERS CP	000318024
AMERICAN SW FINL CORP	001454847
AMERICAN TECHNOLOGIES GROUP	001297526
AMERICAN TELECASTING INC	001276596
AMERICAN TOWER CORP	001052284
AMERICAN TV & COMMUN  -CL A	000352155
AMERICAN WIRELESS SYS INC	001117990
AMERICANA HOTELS & REALTY CP	000356959
AMERICANWEST BANCORP	001401829
AMERICARE HEALTH SCAN INC	001030144
AMERICO LIFE INC	000908139
AMERICONNECT INC	000837993
AMERIN CORP	001001603
AMERIPAGE INC	001172905
AMERIRESOURCE TECHNLGIES INC	001414145
AMERIS BANCORP	000351569
AMERISERV FINANCIAL INC/PA	000707605
AMERISOURCE CORP	001140859
AMERISOURCEBERGEN CORP	001140859
AMERISTEEL CORP	000037661
AMERITECH CORP	001528421
AMERITEK VENTURES	001009824
AMERITRUST CORP	001004153
AMERIVEST PROPERTIES INC	000927102
AMERN NORTEL COMMUNICATIONS	001183523
AMERTEK INC	001033110
AMERUS GROUP CO  -CL A	001051767
AMES NATIONAL CORP	001132651
AMETEK INC	000001969
AMEXDRUG CORP	000045621
AMGEN INC	000318154
AMICAS INC	001115177
AMIRA NATURE FOODS LTD	001308261
AMISK INC  -CL A	001179651
AMISTAR CORP	000741559
AMISYS MANAGED CARE SYS INC	000741559
AMKOR TECHNOLOGY INC	001047127
AML COMMUNICATIONS INC	001003640
AMLI RESIDENTIAL PPTYS TR	001559696
AMNEX INC	000793526
AMOCO CANADA PETRO CO LTD	000933479
AMOCO CO	000766916
AMOCO CORP	000093397
AMPEX CORP/DE  -CL A	000006182
AMPHASTAR PHARMACEUTICLS INC	001297184
AMPLIFY SNACK BRANDS	001562623
AMPLIPHI BIOSCIENCES CORP	000921114
AMREIT INC	000913957
AMRESCO CAPITAL TRUST	001054337
AMRION INC	000812788
AMSOUTH BANCORPORATION	000003133
AMTECH SYSTEMS INC	000720500
AMTELECOM INCOME FUND	001293343
AMVESTORS FINANCIAL CORP	000005320
AMWAY ASIA PACIFIC LTD	000914601
AMWAY JAPAN LTD	000922624
AMWEST INSURANCE GROUP INC	000780118
AMYLIN PHARMACEUTICALS INC	000881464
ANACOMP INC	000006260
ANADARKO PETROLEUM CORP	000773910
ANADIGICS INC	000940332
ANALEX CORP	000044800
ANALOG DEVICES	001129583
ANALOGIC CORP	000006284
ANALOGY INC	000893573
ANALYTIXINSIGHT INC	001525364
ANAPTYSBIO INC	001370053
ANAREN INC	000006314
ANB CORP	000760992
ANCESTRY.COM INC	001575318
ANCHOR FINANCIAL CORP/SC	000741561
ANCOR COMMUNICATIONS INC	001546600
ANDA NETWORKS INC	001112683
ANDAL CORP	000070262
ANDATCO INC  -CL A	001035365
ANDEAVOR	001586050
ANDERSON EXPLORATION LTD	000949417
ANDINA ACQUISITION CORP II	001534675
ANDREA ELECTRONICS CORP	000006494
ANDREWS GROUP INC	001381159
ANDYNE COMPUTING LTD	001612781
ANERGEN INC	000877929
ANESTA CORP	001131517
ANGELCITI ENTERTAINMENT INC	001133153
ANGELES MORTG INVT TR  -CL A	001535695
ANGIE'S LIST INC	001553216
ANGION BIOMEDICA CORP-REDH	001168188
ANGIOTECH PHARMACEUTICALS	001374508
ANGLO AMER GOLD INVEST	001521138
ANGLO AMERICAN PLC	000945360
ANI PHARMACEUTICALS INC	001023024
ANIKA THERAPEUTICS INC	000898437
ANIMAL CLONING SCIENCES-OLD	000915337
ANNALY CAPITAL MANAGEMENT	001488745
ANNAPOLIS BANCSHARES INC	000842705
ANNUITY AND LIFE RE HOLDINGS	001051628
ANSOFT CORP	000849433
ANSWERS CORP	001283073
ANSYS INC	001013462
ANTARES PHARMA INC	001016169
ANTENNA TV SA  -ADR	001047714
ANTEON INTERNATIONAL CORP	001163842
ANTERIOS INC  -REDH	001390085
ANTERO MIDSTREAM PARTNERS LP	001604881
ANTERO RESOURCES CORP	001433270
ANTERRA ENERGY INC	001346633
ANTEX BIOLOGICS INC	000893692
ANTHRACITE CAPITAL INC	001050112
ANTIBE THERAPEUTICS INC	001406677
ANTRIM ENERGY INC	001158631
ANTS SOFTWARE INC	000796655
ANVIL RANGE MINING CORP	001313214
ANWORTH MTG ASSET CORP	001047884
ANZ-AUSTRALIA & NEW ZEALD BK	000926388
AOL INC	001398349
AOXING PHARMACEUTICAL CO INC	001486299
APACHE CORP	001267152
APARTMENT INVST & MGMT CO	000922864
APCO OIL AND GAS INTL INC	000311471
APELLIS PHARMACEUTICALS	001460159
APEX MORTGAGE CAPITAL INC	001045956
APF ENERGY TRUST	001351350
APHRIA INC	001173297
APHTON CORP	000840319
API ELECTRONICS GROUP INC	001022282
APIGEE CORP	001324772
APIVIO SYSTEMS INC	001000791
APOGEE ROBOTICS INC -OLD	000724915
APOGEE TECHNOLOGY INC	000823876
APOLLO EDUCATION GROUP INC	000929887
APOLLO ENDOSURGERY INC	001369432
APOLLO GLOBAL MANAGEMENT LLC	001411494
APOLLO RESOURCES INTL INC	001048237
APP PHARMACEUTICALS INC	001454594
APPALACHIAN OIL & GAS CO INC	000732814
APPALACHIAN POWER	001560107
APPDYNAMICS INC-REDH	001435043
APPFOLIO INC	001433195
APPIAN CORPORATION	001441683
APPIAN TECHNOLOGY INC	001587345
APPIANT TECHNOLOGIES INC	001025985
APPLE HOSPITALITY REIT INC	001191813
APPLE INC	000320193
APPLEBEES INTL INC	000853665
APPLIED BIOMETRICS INC	000816568
APPLIED BIOSYSTEMS INC -OLD	000719545
APPLIED ENERGETICS INC	001216222
APPLIED GENETIC TECHNOLOGIES	001325695
APPLIED IMAGING CORP	000816066
APPLIED IMMUNE SCIENCES/DE	000873565
APPLIED INNOVATION INC	000798399
APPLIED MATERIALS INC	000006948
APPLIED MICRO CIRCUITS CORP	000711065
APPLIED MICROSYSTEMS CORP	001323177
APPLIED MINERALS INC	001000787
APPLIED MOLECULAR EVOLUTION	000008328
APPLIED OPTOELECTRONICS INC	001158114
APPLIED SCI & TECH	001061415
APPLIED SIGNAL TECHNOLOGY	001073753
APPLIED SOLAR ENERGY CORP	001564202
APPLIED TERRAVISION SYS INC	001178370
APPLIED VISUAL SCIENCES INC	001567643
APPLIEDTHEORY CORP	001078577
APPLIX INC	001177644
APPOINT TECHNOLOGIES INC	000093379
APPTIGO INTERNATIONAL INC	001299530
APPTIO INC	001419625
APRIA HEALTHCARE GROUP INC	000882289
APRICUS BIOSCIENCES INC	001494133
APRISMA MGMT TECHNOLOGS-REDH	001133618
APROPOS TECHNOLOGY INC	001098803
APT SYSTEMS INC	001543739
APTALIS HOLDINGS INC  -REDH	001232942
APTEVO THERAPEUTICS INC	001488041
APTIMUS INC	001087277
APTOSE BIOSCIENCES INC	001171186
AQUAMATRIX INC	001404927
AQUANATURAL CO	000893540
AQUANTIA CORP	001316016
AQUILA BIOPHARM INC	000066960
AQUINOX PHARMACEUTICALS INC	001404645
AQUIS COMMUNICATIONS INC	000920854
ARADIGM CORP	001013238
ARADYME CORP	001123580
ARAKIS ENERGY CORP	000882264
ARALEZ PHARMACEUTICALS INC	001361191
ARAMARK CORP  -CL B	000757523
ARAMED INC	000880122
ARAN ENERGY PLC	000932747
ARAPAHO PETROLEUM INC	001362724
